ModelID	Site	Covariates	Precision	Recall	F1Score
Lowland_Clim_1	Lowland forest	Climate	0.789	0.633	0.702
Lowland_Clim_2	Lowland forest	Climate	0.865	0.675	0.758
Lowland_Clim_3	Lowland forest	Climate	0.851	0.642	0.732
Lowland_Clim_4	Lowland forest	Climate	0.841	0.662	0.741
Lowland_Clim_5	Lowland forest	Climate	0.869	0.697	0.773
Lowland_Clim_6	Lowland forest	Climate	0.885	0.773	0.825
Lowland_Clim_7	Lowland forest	Climate	0.749	0.675	0.710
Lowland_Clim_8	Lowland forest	Climate	0.896	0.892	0.894
Lowland_Clim_9	Lowland forest	Climate	0.798	0.730	0.763
Lowland_Clim_10	Lowland forest	Climate	0.901	0.762	0.826
Lowland_Human_1	Lowland forest	Human	0.909	0.861	0.884
Lowland_Human_2	Lowland forest	Human	0.893	0.771	0.828
Lowland_Human_3	Lowland forest	Human	0.819	0.760	0.788
Lowland_Human_4	Lowland forest	Human	0.876	0.893	0.884
Lowland_Human_5	Lowland forest	Human	0.855	0.784	0.818
Lowland_Human_6	Lowland forest	Human	0.850	0.876	0.863
Lowland_Human_7	Lowland forest	Human	0.847	0.725	0.781
Lowland_Human_8	Lowland forest	Human	0.920	0.717	0.806
Lowland_Human_9	Lowland forest	Human	0.869	0.719	0.787
Lowland_Human_10	Lowland forest	Human	0.920	0.892	0.905
Lowland_Bio_1	Lowland forest	Biotic	0.804	0.804	0.804
Lowland_Bio_2	Lowland forest	Biotic	0.801	0.790	0.796
Lowland_Bio_3	Lowland forest	Biotic	0.692	0.552	0.614
Lowland_Bio_4	Lowland forest	Biotic	0.699	0.583	0.636
Lowland_Bio_5	Lowland forest	Biotic	0.746	0.638	0.688
Lowland_Bio_6	Lowland forest	Biotic	0.730	0.606	0.662
Lowland_Bio_7	Lowland forest	Biotic	0.663	0.578	0.618
Lowland_Bio_8	Lowland forest	Biotic	0.661	0.529	0.588
Lowland_Bio_9	Lowland forest	Biotic	0.661	0.674	0.667
Lowland_Bio_10	Lowland forest	Biotic	0.705	0.717	0.711
Lowland_ClimHuman_1	Lowland forest	Climate + Human	0.908	0.729	0.808
Lowland_ClimHuman_2	Lowland forest	Climate + Human	0.925	0.725	0.813
Lowland_ClimHuman_3	Lowland forest	Climate + Human	0.888	0.915	0.901
Lowland_ClimHuman_4	Lowland forest	Climate + Human	0.929	0.878	0.903
Lowland_ClimHuman_5	Lowland forest	Climate + Human	0.889	0.860	0.874
Lowland_ClimHuman_6	Lowland forest	Climate + Human	0.937	0.740	0.827
Lowland_ClimHuman_7	Lowland forest	Climate + Human	0.897	0.778	0.833
Lowland_ClimHuman_8	Lowland forest	Climate + Human	0.905	0.923	0.914
Lowland_ClimHuman_9	Lowland forest	Climate + Human	0.902	0.690	0.782
Lowland_ClimHuman_10	Lowland forest	Climate + Human	0.934	0.782	0.851
Lowland_ClimBio_1	Lowland forest	Climate + Biotic	0.745	0.619	0.676
Lowland_ClimBio_2	Lowland forest	Climate + Biotic	0.713	0.667	0.689
Lowland_ClimBio_3	Lowland forest	Climate + Biotic	0.735	0.606	0.664
Lowland_ClimBio_4	Lowland forest	Climate + Biotic	0.706	0.487	0.576
Lowland_ClimBio_5	Lowland forest	Climate + Biotic	0.704	0.649	0.676
Lowland_ClimBio_6	Lowland forest	Climate + Biotic	0.786	0.745	0.765
Lowland_ClimBio_7	Lowland forest	Climate + Biotic	0.744	0.646	0.692
Lowland_ClimBio_8	Lowland forest	Climate + Biotic	0.697	0.523	0.597
Lowland_ClimBio_9	Lowland forest	Climate + Biotic	0.793	0.834	0.813
Lowland_ClimBio_10	Lowland forest	Climate + Biotic	0.742	0.756	0.749
Lowland_BioHuman_1	Lowland forest	Biotic + Human	0.887	0.603	0.718
Lowland_BioHuman_2	Lowland forest	Biotic + Human	0.798	0.602	0.686
Lowland_BioHuman_3	Lowland forest	Biotic + Human	0.816	0.737	0.774
Lowland_BioHuman_4	Lowland forest	Biotic + Human	0.791	0.516	0.624
Lowland_BioHuman_5	Lowland forest	Biotic + Human	0.826	0.572	0.676
Lowland_BioHuman_6	Lowland forest	Biotic + Human	0.881	0.657	0.753
Lowland_BioHuman_7	Lowland forest	Biotic + Human	0.795	0.703	0.746
Lowland_BioHuman_8	Lowland forest	Biotic + Human	0.884	0.753	0.813
Lowland_BioHuman_9	Lowland forest	Biotic + Human	0.854	0.697	0.767
Lowland_BioHuman_10	Lowland forest	Biotic + Human	0.828	0.561	0.669
Lowland_ClimBioHuman_1	Lowland forest	Climate + Biotic + Human	0.871	0.733	0.796
Lowland_ClimBioHuman_2	Lowland forest	Climate + Biotic + Human	0.796	0.817	0.806
Lowland_ClimBioHuman_3	Lowland forest	Climate + Biotic + Human	0.800	0.840	0.819
Lowland_ClimBioHuman_4	Lowland forest	Climate + Biotic + Human	0.696	0.653	0.674
Lowland_ClimBioHuman_5	Lowland forest	Climate + Biotic + Human	0.786	0.655	0.715
Lowland_ClimBioHuman_6	Lowland forest	Climate + Biotic + Human	0.901	0.711	0.795
Lowland_ClimBioHuman_7	Lowland forest	Climate + Biotic + Human	0.921	0.943	0.932
Lowland_ClimBioHuman_8	Lowland forest	Climate + Biotic + Human	0.705	0.630	0.665
Lowland_ClimBioHuman_9	Lowland forest	Climate + Biotic + Human	0.601	0.469	0.527
Lowland_ClimBioHuman_10	Lowland forest	Climate + Biotic + Human	0.874	0.901	0.888
Mangrove_Clim_1	Mangrove forest	Climate	0.580	0.657	0.616
Mangrove_Clim_2	Mangrove forest	Climate	0.596	0.558	0.577
Mangrove_Clim_3	Mangrove forest	Climate	0.528	0.518	0.523
Mangrove_Clim_4	Mangrove forest	Climate	0.544	0.528	0.536
Mangrove_Clim_5	Mangrove forest	Climate	0.591	0.631	0.610
Mangrove_Clim_6	Mangrove forest	Climate	0.546	0.564	0.555
Mangrove_Clim_7	Mangrove forest	Climate	0.583	0.532	0.556
Mangrove_Clim_8	Mangrove forest	Climate	0.577	0.660	0.616
Mangrove_Clim_9	Mangrove forest	Climate	0.529	0.594	0.560
Mangrove_Clim_10	Mangrove forest	Climate	0.636	0.719	0.675
Mangrove_Human_1	Mangrove forest	Human	0.521	0.579	0.548
